"personLabel"
"Francisco de Aguirre"
"Francisco de Hoces"
"Francisco de Villagra"
"George Simpson"
"Frans Blom"
"Harry Pennell"
"Edmund Lockyer"
"Franz Heinrich Kleinschmidt"
"Franz Ludwig Michel"
"François Caron"
"François Leguat"
"Frederic Louis Norden"
"Pierre-François Bernier"
"Friedrich Adolph Wislizenus"
"Redmond O'Hanlon"
"Jenő Zichy"
"Thomas Gilbert"
"Robert Austin"
"Ivan Kuskov"
"Horatio Thomas Austin"
"Gabriel Bonvalot"
"Gavril Sarychev"
"Henry Mangles Denham"
"Richard Jobson"
"Georg von Meyendorff"
"George Elphinstone Dalrymple"
"George Henry Hamilton Tate"
"George Kennan"
"George Marston"
"George Wheeler"
"George W. Hayward"
"Georges Houot"
"Gerrit van Wuysthoff"
"Louis Henri Boussenard"
"Hamilton Hume"
"Giovanni Cavazzi da Montecuccolo"
"Giovanni Beltrame"
"Gemelli Careri"
"Juan Martínez de Ampiés"
"Moritz von Engelhardt"
"Pierre Dugua, Sieur de Mons"
"Godfrid Haraldsson"
"Louis Gustave Binger"
"Pen Hadow"
"Grenville M. Dodge"
"Orator Fuller Cook"
"Gustav Adolf Haggenmacher"
"Herbert Basedow"
"Raymond Priestley"
"Göran Kropp"
"Alexey Tryoshnikov"
"Kenneth Gandar-Dower"
"Joseph Ingraham"
"John William Harshberger"
"Hanns Vischer"
"Hans Gruner"
"Robin Lee Graham"
"Simón de Alcazaba y Sotomayor"
"Lewis Hubert Lasseter"
"Arthur Armstrong Denny"
"Ignaz Pallme"
"Heinrich Vogelsang"
"Heinrich Poser"
"Henry Francis Fynn"
"Henry Grinnell"
"Henry Kelsey"
"Henry Lidgbird Ball"
"Alonso de León"
"Henry Tureman Allen"
"Henrik Johan Bull"
"Herbert Chermside"
"Hermann Meyer"
"Hernando de Alvarado"
"Hernando de Luque"
"Henrik Greve Blessing"
"Pedro de Sintra"
"Lazare Picault"
"Dionisio Alcalá Galiano"
"Diego de Montemayor"
"Horatio Hale"
"Francisco de Eliza"
"Garcí Manuel de Carbajal"
"Gaspar Pérez de Villagrá"
"Gonzalo López de Haro"
"Hugh Edward Richardson"
"Juan Carrasco"
"Juan Pardo"
"Luca Tarigo"
"Alistair Mackay"
"Michael Barne"
"Lopes Gonçalves"
