"personLabel"
"Ulrich Schmidl"
"João de Santarém"
"Alfred Ritscher"
"Eduard Robert Flegel"
"Ernst Heinrich Georg Ule"
"Carl Adolf Georg Lauterbach"
"Georg Wilhelm Schimper"
"Ernst Dieffenbach"
"Kurt von Morgen"
"Lady Hester Stanhope"
"Masabumi Hosono"
"Emil Riebeck"
"Alfred Merz"
"Hans Pothorst"
"Eduard Mohr"
"Wilhelm Hübbe Schleiden"
"Carl Heinrich Merck"
"Kalv Arnesson"
"Johann Maria Hildebrandt"
"Gottfried Merzbacher"
"Robert Christian Avé-Lallemant"
"Richard Kandt"
"Kurt Dinter"
"Alfred Wegener"
"Friedrich Gottlieb Bartling"
"Adam Olearius"
"Christian Gottfried Ehrenberg"
"Gerhard Friedrich Müller"
"Philip Johan von Strahlenberg"
"Fabian Gottlieb von Bellingshausen"
"Ferdinand von Richthofen"
"George Grey"
"Amalie Dietrich"
"Julius Klaproth"
"Carl Sigismund Kunth"
"Carl Friedrich Philipp von Martius"
"Erich Werdermann"
"Philipp Franz von Siebold"
"Oscar Rudolph Neumann"
"Adolf Lüderitz"
"Johann Ludwig Krapf"
"Hermann Wissmann"
"Carl Peters"
"Johann Gottlieb Georgi"
"Eduard Friedrich Eversmann"
"Didrik Pining"
"Hermann Detzner"
"Theodor Wolf"
"Clemens Denhardt"
"Arved Fuchs"
"Heinrich von Maltzan, Baron zu Wartenburg und Penzlin"
"Franz Steindachner"
"Sámuel Teleki"
"Friedrich Welwitsch"
"Johann Natterer"
"Ferdinand Stoliczka"
"Joseph Rock"
"Emil Holub"
"Franz de Paula Adam von Waldstein"
"Ida Laura Pfeiffer"
"Franz Sieber"
"Ferdinand Bauer"
"Oscar Baumann"
"Ernst von Hesse-Wartegg"
"Oskar Lenz"
"Count Johann Nepomuk Wilczek"
"Thaddäus Haenke"
"Benedikt Roezl"
"Heinrich Wawra von Fernsee"
"Martin Frobisher"
"Tenzing Norgay"
"Tristão da Cunha"
"Jacques Cousteau"
"Paulo da Gama"
"Heinrich Harrer"
"Nikolaus Joseph von Jacquin"
"Felix Philipp Kanitz"
"Karl Andreas Geyer"
"Martin Gusinde"
"Tyrker"
"Emil Körneta"
"Richard Buchta"
"John Cabot"
"Franz Boos"
"Hermann Schlagintweit"
"Emil Johann Lambert Heinricher"
"Karl Ludwig Philipp Zeyher"
"Karl Rechinger"
"Reinhard Maack"
"Karl Ludwig Giesecke"
"Rudolf Carl von Slatin"
"Ludwig von Höhnel"
"Ernst Marno"
"Eduard Glaser"
"Rudolf Pöch"
"Friedrich Bohndorff"
"Joseph von Hammer-Purgstall"
"John Stanislaw Kubary"
"Theodore Illion"
"Rudolf Grauer"
"Virgil von Helmreichen zu Brunnfeld"
"Hans Tappenbeck"
"William Blandowski"
"Leopold Ambronn"
"Hans Schomburgk"
"Herman Soyaux"
"Theodor Lerner"
"Gottlob Krause"
"Maurice Benyovszky"
"Bernhard von Wüllerstorf-Urbair"
"Mathias Rebitsch"
"Robert Schlagintweit"
"Joachim von Pfeil"
"Richard Kund"
"Albrecht Roscher"
"Paul Reichard"
"Eugen Zintgraff"
"Hugo Zöller"
"Ernst Vanhöffen"
"Arnold Schultze"
"Hermann Steudner"
"Erling Kagge"
"Ernest Favenc"
"Ernest Henry Wilson"
"Ernest Joyce"
"Toussaint Charbonneau"
"Ernesto Sánchez La Cruz"
"Joseph Tyrrell"
"Richard Lemon Lander"
"Jacques l'Hermite"
"John Colter"
"Pêro Vaz de Caminha"
"Giovanni de' Marignolli"
"Thomas Fitzpatrick"
"Sydney Possuelo"
"Erwin von Bary"
"Franz Engel"
"Fernão de Loronha"
"Henri Coudreau"
"Jean Nicolet"
"Henry Foster"
